device,endlatitude,endlocaltime,endlongitude,endodometer,filedate,filetimeutc,numbsmtx,numcanoutages,numgnssoutages,numinforms,numintersectionencounters,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,startlatitude,startlocaltime,startlongitude,startodometer,utctime,uuid,tripid,tripdistance,avgspeed
100336,34.76329844647214,51949504.0,-81.0360155209247,,20200630.0,120035.0,,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.800907305558574,43251208.0,-79.89513695095226,,,0116a3f19b6f31e707accafc53a0552b,59ceb6ebfbb0f79d6df8c968b9b7b34d,241953.20293186343,32.315288706925394
102701,40.25911627784917,64205738.0,-83.37458435378994,,20200607.0,174624.0,1883.0,13.0,0.0,0.0,0.0,0.0,0.0,4765.0,0.0,40.26328351315916,64137032.0,-83.37432267606522,,1591551984256.0,013e350191636349e7bd0645a3729ebd,2076b5b96cfbb368574e1b5fea879983,463.263500763595,8.335568085392671
101392,40.10426286595855,82048969.0,-83.16196860752994,,20200620.0,223956.0,4205.0,5.0,0.0,0.0,0.0,0.0,0.0,819.0,0.0,40.26328351315916,81596491.0,-83.37432267606522,,1592692796491.0,0154273afb70431d91b19b016a9bcf91,d72b09c4a5307bb578cbf9815721fcf1,25275.47800261941,2.6373843020833334
100426,40.090732926159966,82718243.0,-83.09017987582479,,20200606.0,224903.0,4842.0,5.0,0.0,0.0,,0.0,0.0,106.0,0.0,41.59715938694647,82228692.0,-82.7104213891092,,1591483743200.0,01a09dacde8aee3c76d61697d2edb325,b6d1db720d2ef62495e26bafc0296065,170327.44925691947,11.475574462427948
102163,40.29514891041363,71036469.0,-83.50670433579518,,20200608.0,191108.0,22219.0,29.0,0.0,0.0,2.0,0.0,0.0,4097.0,0.0,40.081429853159925,69311389.0,-83.11443178502817,,1591643468542.0,01abd3f6595e35f83c6c65aacafcc8fb,6996a49ebc8ccbb672b5787baa6cd969,40976.57901447827,27.660219445380857
100810,40.149835303441456,61617078.0,-82.97718595288624,0.0,20200620.0,163744.0,17270.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.26795318864818,60012812.0,-83.06495668344581,,1592671064248.0,01d42c99b4d3496d611a0a28539a7ecc,53235f9c45b0ae54db99431efc000606,15094.829427445082,11.329481075060317
101315,40.23561208937298,71071869.0,-83.18784970100016,,20200601.0,193308.0,8193.0,13.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,40.23355233186744,70462507.0,-83.32793987938801,,1591039988201.0,020143f400c48f29143830cfaa588923,040f7a1419676a7e554e6e6a12ec8939,11923.996435747284,21.07816073804437
103777,40.61460210504453,63127708.0,-80.0922381256451,,20200627.0,165222.0,23806.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.50870000020748,60743274.0,-80.17015443823955,,1593276742681.0,0202bf83194bd6a9a11a5cd05752eba7,0c00bb1d7efdcb1dbdb30b35bf6cd296,13484.794561111761,9.342794137125447
100943,40.07677813255153,85670485.0,-83.13137443608315,,20200621.0,232056.0,14862.0,5.0,0.0,0.0,4.0,0.0,0.0,10535.0,0.0,40.10254810468864,84179251.0,-83.11417118881832,,1592781656798.0,02049bdefbc67fdd3e2a62cd627a2eb5,3b5efac27b6f7021268e924db6da4c91,3215.602169856523,6.909070234396761
103777,40.14475070595208,2068208.0,-83.0730278289052,,20200626.0,400.0,19800.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.14475060768061,432149.0,-83.07292746810906,,1593129840533.0,022d215419a8082a6ede941e0a5cae84,3ad777ef5f9a25ac54942eba7ae577ed,8.552078756890083,8.988710779287077
100943,40.06421331684246,57024848.0,-83.14190441697917,,20200630.0,152910.0,13552.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.066095897174655,55750822.0,-83.02323936771656,,,02317cb388488d81ad6decf7866675de,af195924a15df62b4386c66754eb4e1e,10125.785765915842,10.539654964578512
102629,40.1256713067761,57703440.0,-83.17817950510351,,20200614.0,140421.0,,13.0,0.0,0.0,0.0,291.0,0.0,1213.0,0.0,38.648507165230825,50673948.0,-82.85534756575234,,1592143461207.0,023c74865eb649116700603d292746db,9af11e99ad950c6be412c11610871738,166340.31869694652,27.202103149820488
102163,40.28540990906957,61847509.0,-83.52691255686204,,20200626.0,164050.0,18947.0,44.0,0.0,0.0,2.0,27.0,0.0,4401.0,0.0,40.0855748928091,60154739.0,-83.1149666693086,,1593189650744.0,024205785a5dc293621aecd19f0325a9,751d4ab48fec90de420238402d78d012,41510.55331544442,27.887497134277716
100148,40.27180075028805,64771539.0,-83.49603196256099,,20200617.0,175104.0,4792.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.29501195212959,64450909.0,-83.50663558187297,,1592416264683.0,024d8ade0b8f4da9896368edc30a5c3e,499c848fa2e0c808c91fde397ed02a44,2730.562510382643,14.668120637661765
102752,40.15379131443635,77589244.0,-83.2389750575661,,20200610.0,212352.0,7243.0,13.0,0.0,0.0,3.0,0.0,0.0,3538.0,0.0,40.23699528297549,77032788.0,-83.35019031782137,,1591824232288.0,026a79242b34a5efcb17cd6fa7f9d85f,7a1b7658339c4d3ac16993c244dfd9ac,13230.133682484646,25.79327538353153
101701,40.30298333333333,65868936.0,-83.5277441666667,0.0,20200602.0,181048.0,4213.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.30298333333333,65448694.0,-83.5277441666667,0.0,1591121448099.0,02bc78c3612a12e61e86730a9829015d,1b87119969e11c4cf2069f8b980015f8,0.0,0.0
101576,45.96213042126342,75025998.0,-84.0343755102077,,20200627.0,184824.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.667896662387534,67705350.0,-84.01526711849259,0.0,1593283704756.0,02e5e0870ec9cf3b89809b5ecf41a960,3ae40b631c637fe5daa9247b9a35fc8c,254958.46498030602,29.906672653039365
103760,40.11871217339065,231258.0,-83.16074726778919,,20200615.0,235731.0,3714.0,5.0,0.0,0.0,,0.0,0.0,1326.0,0.0,40.10255169478409,86290126.0,-83.16330762456059,0.0,1592265451022.0,02edc3da241634a4f72a38a4f9bc64ec,a87f10c38fb9f08190bb4bce879715e6,1807.6353779960602,8.414727776627567
